SKU,NAME ,Thikness_mm,Length_m,Tipo,Familia ,Sub_Familia,unit_base,Largo_min_max,cost_sin_iva,sale_sin_iva,sale_iva_inc,web_sin_iva,web_iva_inc
,,,,,,,,,,,,,
,"ISOROOF  / ISOROOF FOIL / ISOROOF PLUS- 3,5 min",,,,,,,,,,,,
CD80,"Canalón Doble roof 80mm / base 150mm + tapas + agujero + bajada / 3,03 m",80.00,3.03,Perfileria / Terminaciones ,ISOROOF,CANALÓN PREPINTADO,Unit,3.03,61.85,74.22,90.55,86.59,105.64
SOPCAN3M,Soporte para Canalón Isoroof (3m),Estandar ,3.00,Perfileria / Terminaciones ,ISOROOF,CANALÓN PREPINTADO,Unit,,10.93,13.12,16.00,15.30,18.67
,,,,,,,,,,,,,
,CUMBRERAS 3M PREPINTADO,,,,,,,,,,,,
CUMROOF3M,Cumbrera Roof 3G de 3 m,Estandar ,3.00,Perfileria / Terminaciones ,ISOROOF,CUMBRERAS PREPINTADO,Unit,,29.35,35.22,42.97,41.09,50.13
CUMROOF3M,"Cumbrera Roof COLONIAL - 2,2 m (2 piezas de 1,1m)",Estandar ,2.20,Perfileria / Terminaciones ,ISOROOF Colonial,CUMBRERAS PREPINTADO,Unit,,81.55,97.86,119.39,114.17,139.29
,,,,,,,,,,,,,
,ISOWALL,,,,,,,,,,,,
IW50,Isowall 50 mm PIR - GRIS / Blanco,50.00,on demand ,Panel,ISOWALL,PIR,m2 ,2.6 / 14,38.95,46.74,57.03,46.74,57.03
IW50,Isowall 80 mm PIR - GRIS / Blanco,80.00,on demand ,Panel,ISOWALL,PIR,m2 ,2.6 / 14,46.45,55.74,68.00,55.74,68.00
IW50,Isowall 50 mm,50.00,on demand ,Panel,ISOWALL,PIR,m2 ,2.6 / 14,38.95,44.80,54.65,44.80,54.65
IW80,Isowall 80 mm,80.00,on demand ,Panel,ISOWALL,PIR,m2 ,2.6 / 14,46.45,53.42,65.17,53.42,65.17
IW100,Isowall 100 mm,100.00,on demand ,Panel,ISOWALL,PIR,m2 ,2.6 / 14,51.22,58.90,71.86,58.90,71.86
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"ISOFRIG -2,3m(largo minimo de produ) ",,,,,,,,,,,,
IF40 ,IsoFrig 40 mm,40.00,on demand ,Panel,ISOFRIG,PIR,m2 ,2.3 / 14,36.27,43.53,53.11,43.53,53.11
IF60 - IFSL60,IsoFrig - Sala Limpia 60 mm,60.00,on demand ,Panel,ISOFRIG,PIR,m2 ,2.3 / 14,41.22,47.40,57.83,47.40,57.83
IF80 - IFSL80,IsoFrig - Sala Limpia 80 mm,80.00,on demand ,Panel,ISOFRIG,PIR,m2 ,2.3 / 14,45.47,52.29,63.80,52.29,63.80
IF100 - IFSL100,IsoFrig - Sala Limpia 100 mm,100.00,on demand ,Panel,ISOFRIG,PIR,m2 ,2.3 / 14,50.44,58.01,70.77,58.01,70.77
IF150 - IFSL150,IsoFrig - Sala Limpia 150 mm,150.00,on demand ,Panel,ISOFRIG,PIR,m2 ,2.3 / 14,61.19,70.37,85.85,70.37,85.85
,,,,,,,,,,,,,
,"ISOPANEL EPS (Fachada)  2,3 min",,,,,,,,,,,,
ISD50EPS,ISOPANEL EPS 50 mm ,50.00,on demand ,Panel,ISOPANEL,EPS,m2 ,2.3 / 14,29.85,34.32,41.88,34.32,41.88
ISD100EPS,ISOPANEL EPS 100 mm,100.00,on demand ,Panel,ISOPANEL,EPS,m2 ,2.3 / 14,32.83,37.76,46.07,37.76,46.07
ISD150EPS,ISOPANEL EPS 150 mm,150.00,on demand ,Panel,ISOPANEL,EPS,m2 ,2.3 / 14,36.94,42.48,51.82,42.48,51.82
ISD200EPS,ISOPANEL EPS 200 mm,200.00,on demand ,Panel,ISOPANEL,EPS,m2 ,2.3 / 14,41.42,47.64,58.12,47.64,58.12
ISD250EPS,ISOPANEL EPS 250mm,250.00,on demand ,Panel,ISOPANEL,EPS,m2 ,2.3 / 14,45.53,52.35,63.87,52.35,63.87
,,,,,,,,,,,,,
,Perfil U ,,,,,,,,,,,,
PU50MM,Perfil Ch. Blanco U 40 mm x 35 mm ISOFRIG / 3 m ,40.00,3.00,Perfileria / Terminaciones ,ISOFRIG,PIR,unit,3.00,9.45,11.34,13.83,13.23,16.14
