1,,  ,,Producto,Costo m2 U$S + IVA,Con AUMENTO,Proximo AUMENTO,Margen %,,Ganancia,Venta + IVA,CONSUMIDOR IVA INC.,E - Commerce,,METRO LINEAL / 3,Precio ML,Ganancia ML,,WEB Venta + IVA,WEB Venta IVA inc. ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Actualizar oficialmente,Con AUMENTO,Proximo AUMENTO,Por actualizar,,,,,,,,,,,,,,,Precio m lineal,,,,,,,,,,,,,,,,,,,,
,,,,1mx1mx1cm (Paquetes de 60 uds),46.00,,,"2,760.00","3,174.00",1.15,30%,13.8000,,59.80,1.495,"3,588.00",828,,,,,2970864,,,,,,,,,,,,,,,,,,,,,
,,,,1mx1mx2cm  (Paquetes de 30 uds),83.00,,,"2,490.00","2,863.50",2.08,30%,24.9000,,107.90,2.6975,"3,237.00",747,,,,,828,,,,,,,,,,,,,,,,,,,,,
,,,,1mx1mx3cm (Paquetes de 20 uds),123.00,,,"2,460.00","2,829.00",3.08,30%,36.9000,,159.90,3.9975,"3,198.00",738,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1mx1mx5cm (Paquetes de 12 uds),207.00,,,"2,484.00","2,856.60",5.18,30%,62.1000,,269.10,6.7275,"3,229.20",745.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3x1x5cm (Paquetes de 12 uds),855.00,,,"10,260.00","11,799.00",21.38,30%,256.5000,,1111.50,27.7875,"13,338.00",3078,,,,,,370.5,,,,,,,,,,,,,,,,,,,,
,,,,autotrabante  (Paquetes de 12 uds),553.00,,,"6,636.00","7,631.40",13.83,30%,165.9000,,718.90,17.9725,"8,626.80",1990.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Pistola de Silicona ,25.29,,,25%,,6.3225,31.61,38.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tornillos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
