1,,  ,,Producto,Costo m2 U$S + IVA,Con AUMENTO,Proximo AUMENTO,Margen %,,Ganancia,Venta + IVA,CONSUMIDOR IVA INC.,,METRO LINEAL / 3,Precio ML,Ganancia ML,,WEB Venta + IVA,WEB Venta IVA inc. ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Actualizar oficialmente,Con AUMENTO,Proximo AUMENTO,Por actualizar,,,,,,,,,,,,,,Precio m lineal,,,,,,,,,,,,,,,,,,,,
Shopify ,Notas,,,"ISOROOF  / ISOROOF FOIL / ISOROOF PLUS- 3,5 min",pre - Actualizado,1.0335,1.1000,Actualizad,,,Precio + IVA,IVA inc.,,,,,,,,Precio + IVA,Metros de chapas disponibles para cortar,1.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,7.00,7.50,8.00,8.50,9.00,9.50,10.00,10.50,11.00,11.50,12.00,12.50,13.00
Subido con Éxito,,,GL120DC,Perf. Ch. Gotero Lateral 120mm - ISODEC PIR  - (3m),25.90,26.77,29.45,20%,,5.1802,31.08,37.92,,,43.99,6.07,,36.26,44.24,,,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,,6843,Perf. Ch. Gotero Lateral 150mm - (3m),24.216,25.03,27.53,20%,,4.8432,29.06,35.45,,9.68641674,41.12,5.67,,33.90,41.36,,,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,,6844,Perf. Ch. Gotero Lateral 200mm - (3m),31.48,32.54,35.79,20%,,6.2969,37.78,46.09,,12.5938176,53.47,7.37,,44.08,53.78,,,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,,6845,Perf. Ch. Gotero Lateral 250mm - (3m),31.64,32.70,35.97,20%,,6.3289,37.97,46.33,50.96,12.65777058,53.74,7.41,,44.30,54.05,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,,Perfil Ch. Gotero Lateral Cámara 100 mm - (3m),23.17,23.95,26.34,20%,,4.6341,27.80,33.92,,,39.35,5.43,,32.44,39.58,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,,Perfil Ch. Gotero Lateral Cámara 150 mm - (3m),24.22,25.03,27.53,20%,,4.8432,29.06,35.45,,REVISAR - inabilitado en ML,41.12,5.67,,33.90,41.36,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,,Perfil Ch. Gotero Lateral Cámara 200 mm - (3m),31.45,32.50,35.75,20%,,6.2895,37.74,46.04,,REVISAR - inabilitado en ML,53.41,7.37,,44.03,53.71,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,,Perfil Ch. Gotero Lateral Cámara 250 mm - (3m),31.48,32.54,35.79,20%,,6.2969,37.78,46.09,,REVISAR - inabilitado en ML,53.47,7.37,,44.08,53.78,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,OTROS ACCESORIOS Y PERFILES ISODEC (EPS & PIR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
